Cuntrycd,Stkcd,Stknme,Conme,,Prefix
10,000541,佛山照明,佛山电器照明股份有限公司,,szmb
10,000542,TCL 通讯,TCL通讯设备股份有限公司,,szmb
10,000543,皖能电力,安徽省皖能股份有限公司,,szmb
10,000544,中原环保,中原环保股份有限公司,,szmb
10,000545,金浦钛业,吉林金浦钛业股份有限公司,,szmb
10,000546,金圆股份,金圆水泥股份有限公司,,szmb
10,000547,航天发展,航天工业发展股份有限公司,,szmb
10,000548,湖南投资,湖南投资集团股份有限公司,,szmb
10,000549,S 湘火炬,湘火炬汽车集团股份有限公司,,szmb
10,000550,江铃汽车,江铃汽车股份有限公司,,szmb
10,000551,创元科技,创元科技股份有限公司,,szmb
10,000552,靖远煤电,甘肃靖远煤电股份有限公司,,szmb
10,000553,沙隆达A,湖北沙隆达股份有限公司,,szmb
10,000554,泰山石油,中国石化山东泰山石油股份有限公司,,szmb
10,000555,神州信息,神州数码信息服务股份有限公司,,szmb
10,000556,PT 南洋,南洋航运集团股份有限公司,,szmb
10,000557,西部创业,宁夏西部创业实业股份有限公司,,szmb
10,000558,莱茵体育,莱茵达体育发展股份有限公司,,szmb
10,000559,万向钱潮,万向钱潮股份有限公司,,szmb
10,000560,昆百大A,昆明百货大楼(集团)股份有限公司,,szmb
10,000561,烽火电子,陕西烽火电子股份有限公司,,szmb
10,000562,宏源证券,宏源证券股份有限公司,,szmb
10,000563,陕国投A,陕西省国际信托股份有限公司,,szmb
10,000564,西安民生,西安民生集团股份有限公司,,szmb
10,000565,渝三峡A,重庆三峡油漆股份有限公司,,szmb
10,000566,海南海药,海南海药股份有限公司,,szmb
10,000567,海德股份,海南海德实业股份有限公司,,szmb
10,000568,泸州老窖,泸州老窖股份有限公司,,szmb
10,000569,长城股份,攀钢集团四川长城特殊钢股份有限公司,,szmb
10,000570,苏常柴A,常柴股份有限公司,,szmb
10,000571,新大洲A,新大洲控股股份有限公司,,szmb
10,000572,海马汽车,海马汽车集团股份有限公司,,szmb
10,000573,粤宏远A,东莞宏远工业区股份有限公司,,szmb
10,000576,广东甘化,江门甘蔗化工厂(集团)股份有限公司,,szmb
10,000578,盐湖集团,青海盐湖工业集团股份有限公司,,szmb
10,000581,威孚高科,无锡威孚高科技集团股份有限公司,,szmb
10,000582,北部湾港,北部湾港股份有限公司,,szmb
10,000583,S*ST 托普,四川托普软件投资股份有限公司,,szmb
10,000584,友利控股,江苏友利投资控股股份有限公司,,szmb
10,000585,东北电器,东北电气发展股份有限公司,,szmb
10,000586,汇源通信,四川汇源光通信股份有限公司,,szmb
10,000587,金洲慈航,金洲慈航集团股份有限公司,,szmb
10,000588,PT 粤金曼,广东金曼集团股份有限公司,,szmb
10,000589,黔轮胎A,贵州轮胎股份有限公司,,szmb
10,000590,启迪古汉,启迪古汉集团股份有限公司,,szmb
10,000591,太阳能,中节能太阳能股份有限公司,,szmb
10,000592,平潭发展,中福海峡(平潭)发展股份有限公司,,szmb
10,000593,大通燃气,四川大通燃气开发股份有限公司,,szmb
10,000594,国恒退,天津国恒铁路控股股份有限公司,,szmb
10,000595,宝塔实业,宝塔实业股份有限公司,,szmb
10,000596,古井贡酒,安徽古井贡酒股份有限公司,,szmb
10,000597,东北制药,东北制药集团股份有限公司,,szmb
10,000598,兴蓉环境,成都市兴蓉环境股份有限公司,,szmb
10,000599,青岛双星,青岛双星股份有限公司,,szmb
10,000600,建投能源,河北建投能源投资股份有限公司,,szmb
10,000601,韶能股份,广东韶能集团股份有限公司,,szmb
10,000602,金马集团,广东金马旅游集团股份有限公司,,szmb
10,000603,盛达矿业,盛达矿业股份有限公司,,szmb
10,000605,渤海股份,渤海水业股份有限公司,,szmb
10,000606,*ST 易桥,神州易桥信息服务股份有限公司,,szmb
10,000607,华媒控股,浙江华媒控股股份有限公司,,szmb
10,000608,阳光股份,阳光新业地产股份有限公司,,szmb
10,000609,绵石投资,北京绵石投资集团股份有限公司,,szmb
10,000610,西安旅游,西安旅游股份有限公司,,szmb
10,000611,*ST 天首,内蒙古天首科技发展股份有限公司,,szmb
10,000612,焦作万方,焦作万方铝业股份有限公司,,szmb
10,000613,大东海A,海南大东海旅游中心股份有限公司,,szmb
10,000615,京汉股份,京汉实业投资股份有限公司,,szmb
10,000616,海航投资,海航投资集团股份有限公司,,szmb
10,000617,*ST 济柴,济南柴油机股份有限公司,,szmb
10,000618,吉林化工,吉林化学工业股份有限公司,,szmb
10,000619,海螺型材,芜湖海螺型材科技股份有限公司,,szmb
10,000620,新华联,新华联文化旅游发展股份有限公司,,szmb
10,000621,*ST 比特,比特科技控股股份有限公司,,szmb
10,000622,*ST 恒立,恒立实业发展集团股份有限公司,,szmb
10,000623,吉林敖东,吉林敖东药业集团股份有限公司,,szmb
10,000625,长安汽车,重庆长安汽车股份有限公司,,szmb
10,000626,如意集团,连云港如意集团股份有限公司,,szmb
10,000627,天茂集团,天茂实业集团股份有限公司,,szmb
10,000628,高新发展,成都高新发展股份有限公司,,szmb
10,000629,*ST 钒钛,攀钢集团钒钛资源股份有限公司,,szmb
10,000630,铜陵有色,铜陵有色金属集团股份有限公司,,szmb
10,000631,顺发恒业,顺发恒业股份公司,,szmb
10,000632,三木集团,福建三木集团股份有限公司,,szmb
10,000633,*ST 合金,沈阳合金投资股份有限公司,,szmb
10,000635,英力特,宁夏英力特化工股份有限公司,,szmb
10,000636,风华高科,广东风华高新科技股份有限公司,,szmb
10,000637,茂化实华,茂名石化实华股份有限公司,,szmb
10,000638,万方发展,万方城镇投资发展股份有限公司,,szmb
10,000639,西王食品,西王食品股份有限公司,,szmb
10,000650,仁和药业,仁和药业股份有限公司,,szmb
10,000651,格力电器,珠海格力电器股份有限公司,,szmb
10,000652,泰达股份,天津泰达股份有限公司,,szmb
10,000653,ST 九州,福建九州集团股份有限公司,,szmb
10,000655,金岭矿业,山东金岭矿业股份有限公司,,szmb
10,000656,金科股份,金科地产集团股份有限公司,,szmb
10,000657,中钨高新,中钨高新材料股份有限公司,,szmb
10,000658,ST 海洋,厦门海洋实业(集团)股份有限公司,,szmb
10,000659,珠海中富,珠海中富实业股份有限公司,,szmb
10,000660,*ST 南华,广州南华西实业股份有限公司,,szmb
10,000661,长春高新,长春高新技术产业集团股份有限公司,,szmb
10,000662,天夏智慧,天夏智慧城市科技股份有限公司,,szmb
10,000663,永安林业,福建省永安林业(集团)股份有限公司,,szmb
10,000665,湖北广电,湖北省广播电视信息网络股份有限公司,,szmb
10,000666,经纬纺机,经纬纺织机械股份有限公司,,szmb
10,000667,美好集团,美好置业集团股份有限公司,,szmb
10,000668,荣丰控股,荣丰控股集团股份有限公司,,szmb
10,000669,金鸿能源,中油金鸿能源投资股份有限公司,,szmb
10,000670,*ST 盈方,盈方微电子股份有限公司,,szmb
10,000671,阳光城,阳光城集团股份有限公司,,szmb
10,000672,上峰水泥,甘肃上峰水泥股份有限公司,,szmb
10,000673,当代东方,当代东方投资股份有限公司,,szmb
10,000675,ST 银山,四川银山化工(集团)股份有限公司,,szmb
10,000676,智度股份,智度科技股份有限公司,,szmb
10,000677,恒天海龙,恒天海龙股份有限公司,,szmb
10,000678,襄阳轴承,襄阳汽车轴承股份有限公司,,szmb
10,000679,大连友谊,大连友谊(集团)股份有限公司,,szmb
10,000680,山推股份,山推工程机械股份有限公司,,szmb
10,000681,视觉中国,视觉(中国)文化发展股份有限公司,,szmb
10,000682,东方电子,东方电子股份有限公司,,szmb
10,000683,远兴能源,内蒙古远兴能源股份有限公司,,szmb
10,000685,中山公用,中山公用事业集团股份有限公司,,szmb
10,000686,东北证券,东北证券股份有限公司,,szmb
10,000687,华讯方舟,华讯方舟股份有限公司,,szmb
10,000688,建新矿业,建新矿业股份有限责任公司,,szmb
10,000689,ST 宏业,汕头宏业(集团)股份有限公司,,szmb
10,000690,宝新能源,广东宝丽华新能源股份有限公司,,szmb
10,000691,ST 亚太,海南亚太实业发展股份有限公司,,szmb
10,000692,惠天热电,沈阳惠天热电股份有限公司,,szmb
10,000693,ST 华泽,成都华泽钴镍材料股份有限公司,,szmb
10,000695,滨海能源,天津滨海能源发展股份有限公司,,szmb
10,000697,炼石有色,陕西炼石有色资源股份有限公司,,szmb
10,000698,沈阳化工,沈阳化工股份有限公司,,szmb
10,000699,S*ST 佳纸,佳木斯金地造纸股份有限公司,,szmb
10,000700,模塑科技,江南模塑科技股份有限公司,,szmb
10,000701,厦门信达,厦门信达股份有限公司,,szmb
10,000702,正虹科技,湖南正虹科技发展股份有限公司,,szmb
10,000703,恒逸石化,恒逸石化股份有限公司,,szmb
10,000705,浙江震元,浙江震元股份有限公司,,szmb
10,000707,双环科技,湖北双环科技股份有限公司,,szmb
10,000708,大冶特钢,大冶特殊钢股份有限公司,,szmb
10,000709,河钢股份,河钢股份有限公司,,szmb
10,000710,天兴仪表,成都天兴仪表股份有限公司,,szmb
10,000711,京蓝科技,京蓝科技股份有限公司,,szmb
10,000712,锦龙股份,广东锦龙发展股份有限公司,,szmb
10,000713,丰乐种业,合肥丰乐种业股份有限公司,,szmb
10,000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,,szmb
10,000716,黑芝麻,南方黑芝麻集团股份有限公司,,szmb
10,000717,*ST 韶钢,广东韶钢松山股份有限公司,,szmb
10,000718,苏宁环球,苏宁环球股份有限公司,,szmb
10,000719,大地传媒,中原大地传媒股份有限公司,,szmb
10,000720,新能泰山,山东新能泰山发电股份有限公司,,szmb
10,000721,西安饮食,西安饮食股份有限公司,,szmb
10,000722,湖南发展,湖南发展集团股份有限公司,,szmb
10,000723,美锦能源,山西美锦能源股份有限公司,,szmb
10,000725,京东方A,京东方科技集团股份有限公司,,szmb
10,000726,鲁泰A,鲁泰纺织股份有限公司,,szmb
10,000727,华东科技,南京华东电子信息科技股份有限公司,,szmb
10,000728,国元证券,国元证券股份有限公司,,szmb
10,000729,燕京啤酒,北京燕京啤酒股份有限公司,,szmb
10,000730,*ST 环保,沈阳特种环保设备制造股份有限公司,,szmb
10,000731,四川美丰,四川美丰化工股份有限公司,,szmb
10,000732,泰禾集团,泰禾集团股份有限公司,,szmb
10,000733,振华科技,中国振华(集团)科技股份有限公司,,szmb
10,000735,罗牛山,罗牛山股份有限公司,,szmb
10,000736,中房地产,中房地产股份有限公司,,szmb
10,000737,南风化工,南风化工集团股份有限公司,,szmb
10,000738,中航动控,中航动力控制股份有限公司,,szmb
10,000739,普洛药业,普洛药业股份有限公司,,szmb
10,000748,长城信息,长城信息产业股份有限公司,,szmb
10,000750,国海证券,国海证券股份有限公司,,szmb
10,000751,锌业股份,葫芦岛锌业股份有限公司,,szmb
10,000752,西藏发展,西藏银河科技发展股份有限公司,,szmb
10,000753,漳州发展,福建闽南(漳州)经济发展股份有限公司,,szmb
10,000755,山西三维,山西三维集团股份有限公司,,szmb
10,000756,新华制药,山东新华制药股份有限公司,,szmb
10,000757,浩物股份,四川浩物机电股份有限公司,,szmb
10,000758,中色股份,中国有色金属建设股份有限公司,,szmb
10,000759,中百集团,中百控股集团股份有限公司,,szmb
10,000760,斯太尔,斯太尔动力股份有限公司,,szmb
10,000761,本钢板材,本钢板材股份有限公司,,szmb
10,000762,西藏矿业,西藏矿业发展股份有限公司,,szmb
10,000763,锦州石化,锦州石化股份有限公司,,szmb
10,000765,*ST 华信,武汉华信高新技术股份有限公司,,szmb
10,000766,通化金马,通化金马药业集团股份有限公司,,szmb
10,000767,漳泽电力,山西漳泽电力股份有限公司,,szmb
10,000768,中航飞机,中航飞机股份有限公司,,szmb
10,000769,*ST 大菲,沈阳菲菲澳家现代农业股份有限公司,,szmb
10,000776,广发证券,广发证券股份有限公司,,szmb
10,000777,中核科技,中核苏阀科技实业股份有限公司,,szmb
10,000778,新兴铸管,新兴铸管股份有限公司,,szmb
10,000779,三毛派神,兰州三毛实业股份有限公司,,szmb
10,000780,平庄能源,内蒙古平庄能源股份有限公司,,szmb
10,000782,美达股份,广东新会美达锦纶股份有限公司,,szmb
10,000783,长江证券,长江证券股份有限公司,,szmb
10,000785,武汉中商,武汉中商集团股份有限公司,,szmb
10,000786,北新建材,北新集团建材股份有限公司,,szmb
10,000787,*ST 创智,创智信息科技股份有限公司,,szmb
10,000788,北大医药,北大医药股份有限公司,,szmb
10,000789,万年青,江西万年青水泥股份有限公司,,szmb
10,000790,华神集团,成都华神集团股份有限公司,,szmb
10,000791,甘肃电投,甘肃电投能源发展股份有限公司,,szmb
10,000792,盐湖股份,青海盐湖工业股份有限公司,,szmb
10,000793,华闻传媒,华闻传媒投资集团股份有限公司,,szmb
10,000795,英洛华,英洛华科技股份有限公司,,szmb
10,000796,凯撒旅游,海航凯撒旅游集团股份有限公司,,szmb
10,000797,中国武夷,中国武夷实业股份有限公司,,szmb
10,000798,中水渔业,中水集团远洋股份有限公司,,szmb
10,000799,酒鬼酒,酒鬼酒股份有限公司,,szmb
10,000800,一汽轿车,一汽轿车股份有限公司,,szmb
10,000801,四川九洲,四川九洲电器股份有限公司,,szmb
10,000802,北京文化,北京京西文化旅游股份有限公司,,szmb
10,000803,金宇车城,四川金宇汽车城(集团)股份有限公司,,szmb
10,000805,*ST 炎黄,江苏炎黄在线物流股份有限公司,,szmb
10,000806,银河生物,北海银河生物产业投资股份有限公司,,szmb
10,000807,云铝股份,云南铝业股份有限公司,,szmb
10,000809,铁岭新城,铁岭新城投资控股股份有限公司,,szmb
10,000810,创维数字,创维数字股份有限公司,,szmb
10,000811,烟台冰轮,烟台冰轮股份有限公司,,szmb
10,000812,陕西金叶,陕西金叶科教集团股份有限公司,,szmb
10,000813,天山纺织,新疆天山毛纺织股份有限公司,,szmb
10,000815,美利云,中冶美利云产业投资股份有限公司,,szmb
10,000816,智慧农业,江苏农华智慧农业科技股份有限公司,,szmb
10,000817,辽河油田,辽河金马油田股份有限公司,,szmb
10,000818,方大化工,方大锦化化工科技股份有限公司,,szmb
10,000819,岳阳兴长,岳阳兴长石化股份有限公司,,szmb
